Wall time,Step,Value
1777292498.9500225,12288,-217.72833251953125
1777292589.197203,24576,-210.1492156982422
1777292674.430639,32768,-172.08567810058594
1777292746.9520366,38912,-144.40306091308594
1777292836.2167373,51200,-161.8236083984375
1777293334.6838272,75776,-101.82788848876953
1777293392.958148,83968,-74.85139465332031
1777293427.6419497,88064,-82.2438735961914
1777293460.872801,92160,-49.31500244140625
1777293476.862718,94208,-39.71690368652344
1777293514.943328,98304,-68.23179626464844
1777293824.259232,110592,-32.3673095703125
1777293840.0378964,112640,-41.131717681884766
1777293864.633482,114688,-49.63437271118164
1777293899.010074,116736,-36.44707489013672
1777294147.6291184,135168,-38.41100311279297
1777294236.2267814,147456,-3.6096270084381104
1777294251.5525198,149504,-15.507369995117188
1777294279.3291202,151552,-20.43438148498535
1777294303.1455007,153600,-30.025386810302734
1777294473.3319035,163840,-6.340953350067139
1777294631.625043,180224,13.508308410644531
1777294739.9210818,194560,2.4082140922546387
1777296018.9928942,8192,-226.98345947265625
1777296062.2638202,14336,-216.3255615234375
1777296077.3537557,16384,-201.18017578125
1777296189.231803,30720,-160.83631896972656
1777296354.8040514,40960,-128.9922637939453
1777296471.9397898,57344,-78.73786163330078
1777296515.2957544,63488,-78.78289031982422
1777296529.4251375,65536,-88.408935546875
1777296659.5518734,83968,-39.1501579284668
1777296688.1708553,88064,-54.73790740966797
1777296703.6260118,90112,-68.58528137207031
1777296718.2312102,92160,-65.59962463378906
1777296956.7210345,106496,-37.882511138916016
1777297029.69447,116736,-33.69173812866211
1777297058.5265474,120832,-25.37818717956543
1777297072.4804816,122880,-11.926774024963379
1777297148.1432343,131072,-14.384055137634277
1777297324.1857698,141312,6.113702774047852
1777297359.1193547,143360,-5.233471393585205
1777297423.0933604,149504,-5.19128942489624
1777297522.9528651,161792,6.6917829513549805
1777297537.822659,163840,12.33237075805664
1777297568.308205,167936,30.630735397338867
1777297641.9222963,174080,34.508941650390625
1777297673.8607502,178176,17.316667556762695
1777297689.2671475,180224,19.793027877807617
