Wall time,Step,Value
1777708092.3784559,12288,314.7368469238281
1777708109.3078618,14336,313.5777893066406
1777708177.1351833,22528,320.8714294433594
1777708194.0671642,24576,318.868408203125
1777708244.9832087,30720,319.7894592285156
1777708261.95252,32768,317.260009765625
1777708312.8163617,38912,319.4800109863281
1777708329.7002394,40960,313.0299987792969
1777708346.5419052,43008,313.0299987792969
1777708414.7790842,51200,316.42999267578125
1777708568.5839088,69632,305.8800048828125
1777708619.6592004,75776,300.1000061035156
1777708687.7331572,83968,306.3500061035156
1777708721.9212441,88064,307.5799865722656
1777708756.0521944,92160,302.9200134277344
1777708773.0241797,94208,304.8699951171875
1777708807.3612614,98304,309.0199890136719
1777708841.4166765,102400,314.5299987792969
1777708909.7440383,110592,320.05999755859375
1777708926.8736758,112640,311.6199951171875
1777708943.9181528,114688,304.29998779296875
1777708960.980342,116736,305.7200012207031
1777708978.0161054,118784,297.8699951171875
1777709080.6125083,131072,315.7099914550781
1777709114.5520113,135168,312.75
1777709131.547308,137216,315.7699890136719
1777709148.5106308,139264,320.4599914550781
1777709165.5893319,141312,317.04998779296875
1777709217.4360437,147456,331.3599853515625
1777709234.5609267,149504,327.989990234375
1777709251.607384,151552,333.1199951171875
1777709268.7563674,153600,334.07000732421875
1777709354.2292428,163840,339.19000244140625
1777709439.4177024,174080,340.3299865722656
1777709490.5619118,180224,322.67999267578125
1777709507.5233676,182272,322.19000244140625
1777709608.5088074,194560,313.94000244140625
1777709746.1007562,210944,286.1300048828125
1777709797.2261813,217088,293.2900085449219
1777709814.2449014,219136,292.7300109863281
1777709933.5234194,233472,304.8800048828125
1777709984.592611,239616,321.6600036621094
1777710018.5471268,243712,312.3399963378906
1777710137.2281752,258048,315.20001220703125
1777710154.1939628,260096,311.3900146484375
1777710205.8510978,266240,314.8500061035156
1777710222.9043305,268288,304.6099853515625
1777710342.705992,282624,312.5899963378906
1777710376.438932,286720,302.9200134277344
1777710410.355948,290816,295.7300109863281
1777710427.326554,292864,299.489990234375
1777710444.380376,294912,306.6300048828125
1777710563.7303774,309248,320.20001220703125
1777710649.425083,319488,321.5299987792969
1777710683.5621097,323584,329.2200012207031
1777710700.5505269,325632,328.30999755859375
1777710718.129598,327680,328.7799987792969
1777710769.454674,333824,325.04998779296875
1777710820.5681179,339968,304.4800109863281
1777710854.7677326,344064,301.2799987792969
1777710872.1067529,346112,302.1600036621094
1777710923.1491446,352256,296.0899963378906
1777711025.8944294,364544,300.3399963378906
1777711042.9594898,366592,306.42999267578125
1777711077.0973883,370688,313.05999755859375
1777711128.7557,376832,320.6099853515625
1777711163.0701532,380928,319.2799987792969
1777711180.3362875,382976,322.1199951171875
1777711215.3555734,387072,334.7699890136719
1777711249.6180952,391168,343.6499938964844
1777711266.631328,393216,340.29998779296875
1777711385.8775055,407552,346.0400085449219
1777711523.2950454,423936,323.4200134277344
1777711540.6957934,425984,320.29998779296875
1777711557.8810234,428032,320.1300048828125
1777711627.3754544,436224,314.8999938964844
1777711798.3301463,456704,311.1400146484375
1777711815.5220435,458752,314.95001220703125
1777711849.2080412,462848,308.6600036621094
1777711883.3788338,466944,307.8500061035156
1777711917.1876686,471040,309.5199890136719
1777711968.294444,477184,321.3399963378906
1777711985.5076714,479232,326.260009765625
1777712002.550962,481280,310.260009765625
1777712053.6274772,487424,319.989990234375
1777712223.6177099,507904,322.04998779296875
1777712257.7424188,512000,323.3900146484375
1777712359.4836144,524288,333.55999755859375
1777712410.3511865,530432,328.4200134277344
1777712427.408607,532480,325.5799865722656
1777712444.3662753,534528,325.5799865722656
