Wall time,Step,Value
1777703398.126299,12288,-114.9618911743164
1777703406.4791806,14336,-88.74789428710938
1777703440.8563805,22528,-175.05955505371094
1777703449.3950002,24576,-123.6587142944336
1777703475.0477397,30720,-66.98416137695312
1777703483.400087,32768,-49.5
1777703509.7835655,38912,-62.1741828918457
1777703518.4997036,40960,-66.0992202758789
1777703527.3087234,43008,-47.85721206665039
1777703562.0801265,51200,-16.36251449584961
1777703641.2301283,69632,58.46778869628906
1777703667.2677321,75776,62.780006408691406
1777703701.8421125,83968,119.89817810058594
1777703718.9721067,88064,117.1817855834961
1777703735.8955927,92160,152.13819885253906
1777703744.3536236,94208,179.4954376220703
1777703761.261248,98304,200.97962951660156
1777703778.5673406,102400,242.27232360839844
1777703812.597126,110592,314.23779296875
1777703821.1822753,112640,332.0393981933594
1777703829.6817203,114688,350.521240234375
1777703838.20274,116736,358.8587646484375
1777703846.5624857,118784,374.3652648925781
1777703896.6062334,131072,468.6202697753906
1777703913.1004453,135168,517.4725952148438
1777703921.4595747,137216,528.0086669921875
1777703929.982678,139264,570.1487426757812
1777703938.47326,141312,582.24267578125
1777703963.6216607,147456,641.3604736328125
1777703972.0424535,149504,653.8610229492188
1777703980.6813235,151552,665.3947143554688
1777703989.1188242,153600,684.7084350585938
1777704031.366643,163840,765.0223999023438
1777704074.3795495,174080,882.4527587890625
1777704100.265626,180224,945.1036987304688
1777704109.058473,182272,947.94384765625
1777704161.1125233,194560,1035.1177978515625
1777704229.7970152,210944,1099.225830078125
1777704255.5986161,217088,1104.2750244140625
1777704264.3275013,219136,1110.59130859375
1777704325.031568,233472,1147.6710205078125
1777704350.4904041,239616,1147.4298095703125
1777704367.2469788,243712,1147.758544921875
1777704426.6096714,258048,1213.6710205078125
1777704434.9718275,260096,1217.9736328125
1777704460.7145314,266240,1204.1400146484375
1777704469.1422906,268288,1207.784423828125
1777704529.721189,282624,1212.3741455078125
1777704546.9781737,286720,1212.542724609375
1777704564.4317262,290816,1234.1383056640625
1777704573.1411612,292864,1221.8729248046875
1777704581.6762218,294912,1235.81396484375
1777704641.1662953,309248,1268.31201171875
1777704683.8373628,319488,1217.2523193359375
1777704701.2835162,323584,1238.361572265625
1777704709.8909893,325632,1210.39404296875
1777704718.6256204,327680,1204.9615478515625
1777704745.1082652,333824,1213.1546630859375
1777704771.644025,339968,1246.699951171875
1777704789.0282161,344064,1233.1082763671875
1777704797.9496417,346112,1234.5667724609375
1777704823.9433682,352256,1226.00244140625
1777704876.2866607,364544,1277.1103515625
1777704884.9131956,366592,1284.02685546875
1777704902.0932324,370688,1314.472412109375
1777704928.7521884,376832,1318.03955078125
1777704946.3100047,380928,1310.962158203125
1777704955.0423975,382976,1284.806640625
1777704972.3730063,387072,1275.5728759765625
1777704989.6915252,391168,1273.1513671875
1777704998.43185,393216,1251.3189697265625
1777705058.852474,407552,1263.5557861328125
1777705127.4068565,423936,1291.147705078125
1777705135.7986767,425984,1275.29541015625
1777705144.411639,428032,1276.687255859375
1777705179.3897982,436224,1256.2093505859375
1777705266.9805453,456704,1245.020263671875
1777705275.8182328,458752,1236.1219482421875
1777705293.426541,462848,1185.7510986328125
1777705311.0317435,466944,1213.0848388671875
1777705329.087771,471040,1219.6553955078125
1777705355.9204757,477184,1237.8834228515625
1777705365.093301,479232,1249.575439453125
1777705373.8946545,481280,1238.0491943359375
1777705400.7666655,487424,1221.322509765625
1777705490.9642978,507904,1204.5716552734375
1777705509.1622827,512000,1216.9130859375
1777705563.0214725,524288,1260.8935546875
1777705589.6202714,530432,1275.5377197265625
1777705598.5183568,532480,1278.6148681640625
1777705607.445106,534528,1247.14990234375
1777705616.0400658,536576,1258.6639404296875
1777705633.524607,540672,1248.690673828125
1777705668.663729,548864,1247.336181640625
1777705686.099828,552960,1220.0673828125
1777705703.191666,557056,1185.361328125
1777705720.2575185,561152,1202.5225830078125
1777705763.2751846,571392,1261.647216796875
1777705814.5464907,583680,1282.4417724609375
1777705874.6099987,598016,1294.2294921875
1777705883.1777759,600064,1280.5068359375
1777705926.1354623,610304,1284.286376953125
1777705934.6227906,612352,1280.287109375
1777705960.5036216,618496,1278.267822265625
1777705969.0835314,620544,1268.79638671875
1777705977.782613,622592,1283.5902099609375
1777706012.4163244,630784,1261.45556640625
1777706021.1160166,632832,1247.3897705078125
1777706038.5538304,636928,1259.1917724609375
1777706065.1490335,643072,1250.431396484375
1777706099.9827476,651264,1297.3980712890625
1777706108.7618556,653312,1274.3211669921875
1777706117.537732,655360,1270.1239013671875
1777706126.5815406,657408,1265.5592041015625
1777706144.298868,661504,1268.6539306640625
1777706169.8922246,667648,1299.9364013671875
1777706178.5961597,669696,1287.2445068359375
1777706187.2209532,671744,1281.7940673828125
1777706213.1012526,677888,1239.456787109375
1777706239.052,684032,1285.457763671875
1777706290.9858704,696320,1302.30859375
1777706308.7800524,700416,1307.3194580078125
1777706335.5747955,706560,1318.1470947265625
1777706344.3487718,708608,1326.345703125
1777706361.96954,712704,1321.995849609375
1777706370.8738487,714752,1324.2965087890625
1777706415.2825036,724992,1349.9957275390625
1777706424.214735,727040,1355.0802001953125
1777706459.5126455,735232,1339.989501953125
1777706476.9116776,739328,1312.5050048828125
1777706502.9923997,745472,1325.21728515625
1777706537.9075105,753664,1305.03955078125
1777706573.4625537,761856,1289.1185302734375
1777706591.3298829,765952,1342.0634765625
1777706626.4864702,774144,1306.313232421875
1777706635.2061944,776192,1265.840576171875
1777706643.9047868,778240,1260.6619873046875
1777706661.582158,782336,1249.8670654296875
1777706670.3537898,784384,1237.36962890625
1777706705.496205,792576,1208.0736083984375
1777706714.272341,794624,1237.49560546875
1777706750.031886,802816,1234.12158203125
1777706758.7472942,804864,1224.332763671875
1777706767.3428946,806912,1238.33203125
1777706852.8361146,827392,1289.17724609375
1777706896.17755,837632,1380.1065673828125
1777706957.1906629,851968,1373.6046142578125
1777706965.810225,854016,1380.1002197265625
1777707009.150733,864256,1453.406494140625
1777707017.8691573,866304,1471.5626220703125
1777707035.166628,870400,1469.2364501953125
1777707052.7646139,874496,1503.4959716796875
1777707086.7810354,882688,1509.983642578125
1777707165.2258503,901120,1503.4674072265625
1777707182.564798,905216,1477.0513916015625
1777707191.175309,907264,1470.86767578125
1777707217.2802176,913408,1485.3011474609375
1777707269.6210823,925696,1431.83984375
1777707329.9415965,940032,1441.6201171875
1777707338.7030723,942080,1456.04150390625
1777707347.2293422,944128,1421.35205078125
1777707356.1133087,946176,1417.48828125
1777707373.7614923,950272,1394.81494140625
1777707382.3735723,952320,1405.52685546875
1777707408.7153234,958464,1383.1971435546875
1777707417.2453547,960512,1390.1500244140625
1777707460.2491584,970752,1339.59033203125
1777707468.811172,972800,1355.1064453125
1777707562.0887449,995328,1360.433837890625
1777707587.9256265,1001472,1326.01123046875
1777707596.5052335,1003520,1309.23095703125
1777707613.6798677,1007616,1311.5858154296875
1777707630.5943813,1011712,1336.04443359375
1777707656.2531717,1017856,1321.7158203125
1777707753.3167887,1040384,1389.459716796875
1777707788.349109,1048576,1352.241943359375
1777707796.6479654,1050624,1356.677734375
1777707813.8017142,1054720,1381.5408935546875
1777707831.3589168,1058816,1385.359130859375
1777707840.0640762,1060864,1388.8990478515625
1777707857.7664824,1064960,1404.65185546875
1777707901.6547012,1075200,1387.90478515625
1777707910.3989584,1077248,1396.8577880859375
1777707962.9193692,1089536,1410.2545166015625
1777707980.3880997,1093632,1434.077392578125
1777707989.2226942,1095680,1407.5372314453125
1777707998.1245775,1097728,1412.3909912109375
1777708006.9368622,1099776,1440.43896484375
1777708015.4892597,1101824,1444.5946044921875
1777708024.056665,1103872,1425.5277099609375
1777708041.9683478,1107968,1448.12841796875
1777708050.7240143,1110016,1446.2818603515625
1777708059.5156615,1112064,1445.35498046875
1777708103.0660412,1122304,1479.383544921875
1777708111.7143664,1124352,1507.3443603515625
1777708120.2292578,1126400,1492.2540283203125
1777708137.4396076,1130496,1445.2640380859375
1777708172.1292663,1138688,1488.261962890625
1777708189.3652809,1142784,1497.788818359375
1777708206.7888803,1146880,1508.375244140625
1777708241.2515411,1155072,1516.281005859375
1777708249.7587194,1157120,1493.3358154296875
1777708258.615442,1159168,1500.570068359375
1777708293.9460037,1167360,1515.1458740234375
1777708328.6379943,1175552,1547.3228759765625
1777708337.2229705,1177600,1552.1966552734375
1777708363.0264506,1183744,1564.90087890625
1777708380.8227873,1187840,1565.210205078125
1777708389.6554167,1189888,1562.740234375
1777708398.4663591,1191936,1576.6846923828125
1777708407.1306036,1193984,1592.4775390625
1777708415.91386,1196032,1607.8079833984375
1777708424.4913788,1198080,1623.0616455078125
1777708441.8743262,1202176,1675.6221923828125
1777708450.8010552,1204224,1690.8194580078125
1777708494.8283956,1214464,1692.35498046875
1777708503.5003736,1216512,1701.857421875
1777708529.8344932,1222656,1694.7767333984375
1777708538.6128964,1224704,1683.9051513671875
1777708564.4852343,1230848,1649.0797119140625
1777708581.7562907,1234944,1647.813232421875
1777708616.0015028,1243136,1643.8878173828125
1777708633.2130022,1247232,1655.6634521484375
1777708650.49058,1251328,1664.85302734375
1777708667.6705568,1255424,1696.1883544921875
1777708693.3990505,1261568,1653.2275390625
1777708727.7002795,1269760,1620.4677734375
1777708736.4543476,1271808,1642.4498291015625
1777708753.532097,1275904,1632.821044921875
1777708779.5080242,1282048,1594.7178955078125
1777708814.1700063,1290240,1583.4805908203125
1777708857.5518568,1300480,1511.1514892578125
1777708918.989131,1314816,1432.0958251953125
1777708928.0135882,1316864,1433.0965576171875
1777708945.5684536,1320960,1424.731689453125
1777708954.3185163,1323008,1439.0654296875
1777708963.0661337,1325056,1403.3507080078125
1777708971.797489,1327104,1397.1383056640625
1777708980.6179361,1329152,1401.560302734375
1777708989.3192186,1331200,1387.6781005859375
1777709015.9381952,1337344,1360.053466796875
1777709051.1035566,1345536,1339.14306640625
1777709059.8019013,1347584,1319.0079345703125
1777709094.514963,1355776,1342.46044921875
1777709120.3883643,1361920,1317.846923828125
1777709137.4917438,1366016,1311.0556640625
1777709155.1260643,1370112,1315.19140625
1777709180.9041731,1376256,1285.6759033203125
1777709189.5158384,1378304,1295.5240478515625
1777709198.1658378,1380352,1280.7825927734375
1777709206.7440598,1382400,1260.154541015625
1777709215.3150742,1384448,1268.3167724609375
1777709232.7574127,1388544,1285.8953857421875
1777709241.405842,1390592,1295.9678955078125
1777709250.1014233,1392640,1268.19482421875
1777709267.3371255,1396736,1279.6041259765625
1777709276.0518498,1398784,1292.643310546875
1777709284.6972675,1400832,1297.989013671875
1777709293.3427165,1402880,1321.1197509765625
1777709310.37748,1406976,1329.2274169921875
1777709327.8296444,1411072,1355.6905517578125
1777709336.480637,1413120,1357.6888427734375
1777709397.6419587,1427456,1395.7486572265625
1777709423.676226,1433600,1391.7451171875
1777709432.4317067,1435648,1364.727294921875
1777709441.2827861,1437696,1367.49658203125
1777709458.5263903,1441792,1382.210205078125
1777709483.5310402,1447936,1330.09375
1777709500.11987,1452032,1345.2471923828125
1777709516.8189476,1456128,1377.0968017578125
1777709550.7191052,1464320,1370.18701171875
1777709584.6419241,1472512,1418.130859375
1777709610.5145426,1478656,1459.4630126953125
1777709619.1671524,1480704,1476.231689453125
1777709627.7641244,1482752,1453.3323974609375
1777709636.3559225,1484800,1452.5556640625
1777709644.8310316,1486848,1428.2166748046875
1777709687.0241299,1497088,1390.0089111328125
1777709737.3492022,1509376,1360.0755615234375
1777709753.9795945,1513472,1348.3292236328125
1777709762.4821446,1515520,1323.34033203125
1777709770.937651,1517568,1299.079345703125
1777709795.9010952,1523712,1317.8394775390625
1777709821.049682,1529856,1318.266357421875
1777709829.7043157,1531904,1313.636962890625
1777709855.5997179,1538048,1348.0428466796875
1777709864.124084,1540096,1392.126708984375
1777709872.5678544,1542144,1373.2041015625
1777709889.4665833,1546240,1374.627685546875
1777709906.262273,1550336,1354.943603515625
1777709956.7237742,1562624,1373.24560546875
1777709982.306613,1568768,1307.6646728515625
1777709990.8405623,1570816,1305.2672119140625
1777710016.3354695,1576960,1317.070556640625
1777710024.6490543,1579008,1298.8468017578125
1777710032.8356485,1581056,1319.8662109375
1777710049.3989646,1585152,1338.5687255859375
1777710057.7856355,1587200,1351.4542236328125
1777710066.3034782,1589248,1363.7779541015625
1777710109.1582386,1599488,1361.0057373046875
1777710143.0862405,1607680,1415.08251953125
1777710151.5333438,1609728,1429.2215576171875
1777710168.370153,1613824,1426.7542724609375
1777710185.5407472,1617920,1414.1070556640625
1777710203.2294948,1622016,1449.6497802734375
1777710211.8211694,1624064,1454.6802978515625
1777710220.467822,1626112,1469.0009765625
1777710229.0319839,1628160,1465.650634765625
1777710237.7059715,1630208,1476.3450927734375
1777710263.6587873,1636352,1447.406005859375
1777710281.3350616,1640448,1475.2061767578125
1777710298.80481,1644544,1494.94677734375
1777710324.7768645,1650688,1499.9254150390625
1777710342.0548701,1654784,1479.8072509765625
1777710350.679889,1656832,1486.1837158203125
1777710359.4032998,1658880,1486.986328125
1777710393.7062001,1667072,1489.59423828125
1777710410.7615476,1671168,1517.678955078125
1777710419.2940376,1673216,1499.5501708984375
1777710436.6426058,1677312,1509.4525146484375
1777710462.4948452,1683456,1485.97998046875
1777710496.6468976,1691648,1484.7972412109375
1777710522.3296154,1697792,1514.601806640625
1777710547.6843321,1703936,1490.21533203125
1777710556.1800396,1705984,1443.6396484375
1777710573.1317286,1710080,1447.375732421875
1777710590.0080612,1714176,1463.95361328125
1777710607.305613,1718272,1470.5213623046875
1777710649.65078,1728512,1417.44580078125
1777710675.6079981,1734656,1382.4833984375
1777710684.5455558,1736704,1360.4156494140625
1777710693.277512,1738752,1339.1824951171875
1777710720.2463226,1744896,1334.007080078125
1777710771.7865086,1757184,1320.2554931640625
1777710789.1756866,1761280,1315.243408203125
1777710797.776898,1763328,1316.14892578125
1777710806.3775682,1765376,1318.6856689453125
1777710823.8650684,1769472,1304.7615966796875
1777710858.86597,1777664,1332.1834716796875
1777710876.5688908,1781760,1305.126220703125
1777710885.325748,1783808,1319.568115234375
1777710920.003259,1792000,1249.4427490234375
1777710928.6750762,1794048,1281.09912109375
1777710937.224385,1796096,1280.1475830078125
1777710945.9323828,1798144,1286.3739013671875
1777710971.522298,1804288,1302.1563720703125
1777710980.1051779,1806336,1286.4339599609375
1777710988.5337477,1808384,1273.9080810546875
1777711005.7333467,1812480,1242.2320556640625
1777711030.985611,1818624,1215.67822265625
1777711048.1149423,1822720,1228.5157470703125
1777711056.9162943,1824768,1228.2611083984375
1777711074.1132164,1828864,1253.40625
1777711082.7508602,1830912,1250.8375244140625
1777711108.47129,1837056,1252.2137451171875
1777711134.010848,1843200,1253.7669677734375
1777711142.6526732,1845248,1244.745361328125
1777711203.2425299,1859584,1329.2432861328125
1777711211.7269385,1861632,1330.8809814453125
1777711219.9971137,1863680,1327.7974853515625
1777711228.6501732,1865728,1329.926025390625
1777711246.1342893,1869824,1320.4169921875
1777711254.701312,1871872,1316.2064208984375
1777711272.1028972,1875968,1346.7886962890625
1777711280.8049986,1878016,1351.9017333984375
1777711289.3038373,1880064,1342.957763671875
1777711315.1741467,1886208,1347.367431640625
1777711323.478659,1888256,1352.675048828125
1777711332.0401382,1890304,1347.9871826171875
1777711340.5816107,1892352,1357.166748046875
1777711357.4495373,1896448,1352.158935546875
1777711410.2143412,1908736,1436.3314208984375
1777711418.7842546,1910784,1454.3331298828125
1777711444.6321065,1916928,1503.1865234375
1777711504.9698062,1931264,1547.9100341796875
1777711531.1525855,1937408,1572.847412109375
