Wall time,Step,Value
1770974982.6298902,2048,-149.81875610351562
1770974994.6908424,4096,-168.49560546875
1770975006.9788432,6144,-151.87356567382812
1770975019.3661883,8192,-140.72154235839844
1770975031.578645,10240,-119.24590301513672
1770975043.83616,12288,-110.03114318847656
1770975056.1397965,14336,-108.01959228515625
1770975068.7774508,16384,-109.62973022460938
1770975081.2240913,18432,-125.01062774658203
1770975093.7608032,20480,-109.29180908203125
1770975106.2212565,22528,-107.46977233886719
1770975118.734976,24576,-105.62857818603516
1770975131.2595205,26624,-92.44070434570312
1770975143.800573,28672,-89.65790557861328
1770975156.362179,30720,-76.20295715332031
1770975168.872156,32768,-66.29911804199219
1770975181.3727064,34816,-64.19062042236328
1770975193.5269573,36864,-45.69615173339844
1770975205.651847,38912,-38.10683059692383
1770975217.9257765,40960,-49.73104476928711
1770975230.2771761,43008,-41.08341979980469
1770975242.6992197,45056,-38.5408821105957
1770975254.8126106,47104,-40.63825607299805
1770975266.9268126,49152,-43.64076232910156
1770975279.2015817,51200,-39.924171447753906
1770975291.4763932,53248,-26.284242630004883
1770975304.1839223,55296,-17.38850212097168
1770975316.6517837,57344,-39.19280242919922
1770975329.0856893,59392,-39.91948318481445
1770975342.1949563,61440,-32.78617477416992
1770975354.801049,63488,-28.12677001953125
1770975367.6364853,65536,-17.254568099975586
1770975380.4418075,67584,-24.81344985961914
1770975393.1852345,69632,0.6370209455490112
1770975405.651184,71680,8.999734878540039
1770975417.918029,73728,5.701564311981201
1770975430.1847308,75776,10.73388671875
1770975442.281352,77824,18.285783767700195
1770975454.354799,79872,27.91916847229004
1770975466.6876135,81920,23.511215209960938
1770975478.9170904,83968,21.066600799560547
1770975491.3370647,86016,17.690948486328125
1770975503.7163782,88064,35.783226013183594
1770975515.8630226,90112,44.964839935302734
1770975527.9127972,92160,51.05482482910156
1770975540.1586254,94208,55.249568939208984
1770975552.4961061,96256,38.38874816894531
1770975565.0026848,98304,33.02062225341797
1770975578.0660567,100352,30.248809814453125
1770975590.4268928,102400,26.83574104309082
1770975602.88887,104448,22.823598861694336
1770975615.2818327,106496,30.646900177001953
1770975627.8887825,108544,54.52083206176758
1770975640.3398457,110592,50.81071472167969
1770975652.8338437,112640,45.81052780151367
1770975665.1975489,114688,43.508087158203125
1770975678.6402287,116736,52.11112976074219
1770975690.830993,118784,48.83076095581055
1770975703.0158021,120832,47.89412307739258
1770975715.2852986,122880,50.57497787475586
1770975727.5570104,124928,46.29983901977539
1770975739.7649062,126976,58.64242935180664
1770975752.0100017,129024,55.90046691894531
1770975764.4757452,131072,53.629127502441406
1770975776.7828774,133120,60.81228256225586
1770975789.0887895,135168,63.44012451171875
1770975801.384721,137216,61.42362594604492
1770975813.8184547,139264,66.45451354980469
1770975826.168946,141312,68.91178131103516
1770975838.7341695,143360,55.467247009277344
1770975851.3857415,145408,57.54380798339844
1770975864.018145,147456,59.75883865356445
1770975876.4712489,149504,54.98342514038086
1770975888.8809452,151552,53.32768630981445
1770975901.6821856,153600,55.19208526611328
1770975914.349344,155648,73.36837005615234
1770975926.7087584,157696,68.38356018066406
1770975939.0700498,159744,60.3948974609375
1770975951.2993212,161792,59.93810272216797
1770975963.7094827,163840,62.61709976196289
1770975975.939081,165888,63.0462532043457
1770975988.1631644,167936,64.54251861572266
1770976000.604059,169984,73.0058822631836
1770976013.0131822,172032,68.71893310546875
1770976025.5598888,174080,56.59286880493164
1770976037.9310951,176128,53.917423248291016
1770976050.2827141,178176,62.18720245361328
1770976062.910843,180224,70.58513641357422
1770976075.4663303,182272,73.0629653930664
1770976088.183175,184320,78.50541687011719
1770976100.6119955,186368,71.31519317626953
1770976112.9992929,188416,65.41795349121094
1770976125.4183848,190464,68.31397247314453
1770976137.8460352,192512,70.81715393066406
1770976150.219798,194560,74.62708282470703
1770976162.7994735,196608,81.00678253173828
1770976180.210378,198656,77.13456726074219
1770976192.5830061,200704,75.53060150146484
1770976204.9839113,202752,80.13141632080078
1770976217.485654,204800,73.89525604248047
1770976229.7969239,206848,81.4366226196289
1770976242.1158764,208896,83.16807556152344
1770976254.3750603,210944,77.5190200805664
